category,sub_category,city,clinic_name,doctor_name,address,phone,rating,review_count,hours,pets_treated,speciality,website_notes
Veterinarian,Clinic,Gurgaon,Gurugram Pinaka Vets,,"Experion, The Westerlies, Sector 108, Gurugram",+918930606675,4.4,78,Open 24 hours,"Dogs, Cats","Skin, Pet Café",
Veterinarian,Clinic,Gurgaon,Asha Holistic Pet Care Clinic,Dr. Lovish Gupta,"Plot 145, Orchid Petals, South City II, Sector 49, Gurugram",+917070097676,4.8,72,Open 24 hours,"Dogs, Cats","Holistic, IV Therapy, Stray Care",
Veterinarian,Clinic,Delhi,CGS Veterinary Care – Sarojini Nagar,"Dr. Vikas, Dr. Tarish, Dr. Nitin, Dr. Shalisha","DLF South Square Mall, Block G, Sarojini Nagar, New Delhi",+919311014420,4.6,72,8 AM - 8 PM,"Dogs, Cats","Oncology, Physiotherapy, Vaccination Drives",
Veterinarian,Clinic,Delhi,Dr. Dheeraj Pets Clinic & Surgery Centre,Dr. Dheeraj,"K-129, Outer Ring Rd, Opp Pillar 3, Krishna Park Extension, Vikaspuri, New Delhi",+919958788057,4.5,604,Open 24 hours,"Dogs, Cats, Birds","Surgery, Spay, Home Visits",
Veterinarian,Clinic,Delhi,24×7 Pet Clinic,Dr. Deepak,"B Basement, Z-1, Block J, Rajouri Garden, New Delhi",+919350564007,4.4,537,Open 24 hours,"Dogs, Cats","GDV Surgery, Emergency",
Veterinarian,Clinic,Delhi,Vet Plus Dog & Cat Clinic,Dr. S.K. Singh,"Near Nanak Piau Gurudwara, Priyadarshini Vihar, Kalyan Vihar, New Delhi",+918010110007,4.4,913,Open 24 hours,"Dogs, Cats",Stray Care,
Veterinarian,Clinic,Delhi,Vetic Pet Clinic – Dwarka,,"Block A, Plot 218, Pocket A2, Sector 17 Dwarka, New Delhi",+919811486520,4.6,1210,Open 24 hours,"Dogs, Cats",Wellness,
Veterinarian,Clinic,Delhi,Crown Vet,"Dr. Arif Kichloo, Dr. Shivam Bhardwaj, Dr. Vijaydeep","Part 4, 32, Ring Rd, Block N, Lajpat Nagar 4, New Delhi",+918062744104,4.5,404,Open 24 hours,"Dogs, Cats","Pyometra, Skin, Emergency",
Veterinarian,Clinic,Delhi,MaxPetZ Animal Hospital – East of Kailash,"Dr. Vartika (Avian), Dr. Sunaina (Ophthalmology), Dr. Ankita, Dr. Reeva","8, Lala Lajpat Rai Rd, Metro Pillar 74, East of Kailash, New Delhi",+918448449955,4.2,1127,Open 24 hours,"Dogs, Cats, Birds, Rabbits","Avian Specialist, Ophthalmology, Imaging",
Veterinarian,Clinic,Delhi,MaxPetZ – Greater Kailash 1,Dr. Khan,"R-55, Greater Kailash-1, Block R, New Delhi",+918448449955,3.9,1147,10 AM - 8 PM,"Dogs, Cats",General Medicine,
Veterinarian,Clinic,Delhi,Vetic Pet Clinic – Greater Kailash,Dr. Anand & Team,"R-75, Hansraj Gupta Rd, Greater Kailash-1, New Delhi",+919811379153,4.6,830,Open 24 hours,"Dogs, Cats","Wellness, Dental, Diagnostics",
Veterinarian,Clinic,Delhi,Vet's Best Pet Clinic,Dr. Lokkit,"C-17, Masoodpur, Vasant Kunj, New Delhi",+919116603111,4.8,431,Open 24 hours,"Dogs, Cats","Blood Work, Kidney, Emergency",
Veterinarian,Clinic,Delhi,Vetic Pet Clinic – Vasant Kunj,,"A-93, Main Rd, Masoodpur, Vasant Kunj, New Delhi",+919211300360,4.8,190,10 AM - 8 PM,"Dogs, Cats","Bath, Vaccination",
Veterinarian,Clinic,Delhi,Dr. R.T. Sharma Pet Clinic,Dr. R.T. Sharma,"C9/7, Near Guardian Pharmacy, Masoodpur, Vasant Kunj, New Delhi",+919810036255,4.4,899,7 AM - 11 PM,"Dogs, Cats","General Practice, Stray Care",
Veterinarian,Clinic,Delhi,Furry Tales Veterinary Pet Clinic,Dr. Ambika,"K-95/A-8-9, Kunj Market, Masoodpur, Vasant Kunj, New Delhi",+919773844061,4.9,388,10:30 AM - 7 PM,"Dogs, Cats","Epilepsy, Rescue, Rehoming",
Veterinarian,Clinic,Delhi,Dog and Cat Clinic – Malviya Nagar,Dr. B.K. & Team,"3/31-34, LGF, Gallon Plaza, Gitanjali Rd, Malviya Nagar, New Delhi",,4.4,520,10 AM - 9 PM,"Dogs, Cats, Birds",Export Docs,
Veterinarian,Clinic,Delhi,Pet's Planet India Clinic – Ranibagh,Dr. Vishal,"2842, Sant Nagar Main Rd, Rani Bagh, Pitampura, New Delhi",+919212241222,4.5,828,10 AM - 3 PM / 5 - 9:30 PM,"Dogs, Cats",Vaccinations,
Veterinarian,Clinic,Delhi,Vetic Pet Clinic – Pitampura,,"Plot A-44, Near Deepali Chowk, Saraswati Vihar, Pitampura, Delhi",+918929009626,4.8,1075,10 AM - 8 PM,"Dogs, Cats","Spa, Wellness, Stray",
Veterinarian,Clinic,Delhi,Panacea Veterinary Clinic – Rohini,"Dr. Vinay, Dr. Bhupendra","C11/22, Pocket 11, Sector 3C, Rohini, Delhi",+917777009800,4.4,815,9 AM - 9 PM,"Dogs, Cats",Small Breed Surgery,
Veterinarian,Clinic,Delhi,Urban Vet Clinic,Dr. Manglaram,"100 Feet Rd, Near Bharat Petroleum, Jharoda, Burari, Delhi",+919319749067,4.7,234,Open 24 hours,"Dogs, Cats","Eye Surgery, Ophthalmology",
Veterinarian,Clinic,Delhi,Ranjan Pet Clinic,Dr. Ranjan,"Bhanumati Rd, Pocket D, New Rajinder Nagar, New Delhi",+911147037174,4.5,409,9:30 AM - 8:30 PM,"Dogs, Cats","Online Consultation, YouTube Education",
Veterinarian,Clinic,Delhi,Dr. Puri's Pet Clinic,"Dr. S. Puri, Dr. Diwakar","C6B/9, Mall Rd, Behind Desu Colony, Janakpuri, New Delhi",+919312260168,4.4,552,9:30 AM - 9 PM,"Dogs, Cats, Rabbits","Uterus Surgery, Small Animal",
Veterinarian,Clinic,Delhi,VET PRO Kumar's Dog & Cat Clinic,,"WP-1, Shiv Shankar Chowk, Wazirpur, Ashok Vihar, Delhi",+918506816406,4.5,952,9 AM - 9 PM,"Dogs, Cats",General Medicine,
Veterinarian,Charity/Govt,Delhi,Shri Vijayanand Jain Charitable Birds Hospital,,"H-49, Navin Shahdara, Shahdara, Delhi",+919810063955,4.5,349,8 AM - 6 PM,Birds,"FREE Treatment, Charitable Hospital",
Veterinarian,Clinic,Delhi,Birds & Rabbits Clinic,Dr. Dheeraj,"Sayed Nangloi, Near Hanuman Mandir, Paschim Vihar, New Delhi",+919899288789,4.4,141,Open 24 hours,"Birds, Rabbits","Exotic Pets Specialist, Broken Bones",
Veterinarian,Govt Hospital,Delhi,Sanjay Gandhi Animal Care Centre,,"Raja Garden, Near Shivaji College, Shivaji Enclave, New Delhi",+919560802425,3.6,8557,Open 24 hours,All Animals,"Government, Low-Cost, All Species",
Veterinarian,Govt Hospital,Delhi,Veterinary Hospital NDMC,,"Shantipath Rd, Near Safdarjung Railway Station, Moti Bagh, New Delhi",+911124672161,3.9,2064,Mon-Fri 9-4 / Sat 9-1,"Dogs, Cats","Government, Free Rabies Vaccine",
Veterinarian,Clinic,Noida,UR Pet Clinic,Dr. Mrigendra,"C-23, Dallupura Rd, Sector 12, Noida",+917355033314,4.6,821,Open 24 hours,"Dogs, Cats","Holistic, Neuter/Spay",
Veterinarian,Clinic,Noida,Pet Tales Veterinary Clinic,Dr. Shivam Singh Patel,"A-77, A Block, Sector 71, Noida",+918901254697,4.5,317,8 AM - 11 PM,"Dogs, Cats","Parvo, Puppies, Emergency",
Veterinarian,Clinic,Noida,Vetic Pet Clinic – Noida,"Dr. Neeraj Yadav, Dr. Anshul Shukla","Plot 3C, Galleria, Pillar 52, Sector 49, Noida",+918929001976,4.4,1711,Open 24 hours,"Dogs, Cats","ICU, Oxygen Support, Emergency",
Veterinarian,Clinic,Noida,Noida Pet Clinic Superspeciality,Dr. Praveen Sharma,"C-105, Sarfabad Village, Sector 72, Noida",+918042752718,3.8,988,7 AM - 10 PM,"Dogs, Cats, Rabbits, Guinea Pigs, Parrots","Exotic Pets, Tumour Surgery",
Veterinarian,Clinic,Noida,City Paws Veterinary Clinic,"Dr. Ashish, Dr. Bhudeo Singh","BR-14, SD Block, Sadarpur, Sector 45, Noida",+919289205721,4.7,364,Open 24 hours,"Dogs, Cats","C-Section, Spay, Surgery",
Veterinarian,Clinic,Noida,Vital Pet Clinic,Dr. Aman,"D-5, Jal Vayu Vihar Rd, Sector 20, Noida",+917080117060,4.7,228,Open 24 hours,"Dogs, Cats","Vaccination Reminders, WhatsApp Follow-up",
Veterinarian,Clinic,Noida,Cure & Heal Pet Clinic,Dr. Harkesh Atri,"Plot C1/1, Maharaja Agrasen Marg, Sector 31, Noida",+919718982096,4.6,283,9 AM - 9 PM / Weekends 24 hours,"Dogs, Cats","Surgery, Stray Care, Vaccinations",
Veterinarian,Clinic,Noida,Paw Centric Pet Clinic,Dr. Dilip,"SB-06, Sector 117, Noida",+917223847355,4.9,187,Open 24 hours,"Dogs, Cats","CRM Health Records, Digital Follow-ups",
Veterinarian,Clinic,Noida,Healwell Pet Clinic,"Dr. Aman Verma, Dr. Ramesh Jha","A-31, A Block, Sector 49, Noida",+917044612445,4.2,686,Open 24 hours,"Dogs, Cats","X-Ray, Medical Boarding, 24x7 Emergency",
Veterinarian,Clinic,Noida,VetCare Pet Clinic,Dr. Deepak Chaturvedi,"GF-21, High Street, Gaur City 2, Greater Noida West",+917019583789,4.9,253,Open 24 hours,"Dogs, Cats","General Practice, Compassionate Care",
Veterinarian,Clinic,Noida,Panacea Veterinary – Greater Noida,,"La Galleria Market, Techzone 4, Amrapali Dream Valley, Greater Noida",+919667073311,4.5,829,Open 24 hours,"Dogs, Cats",Eye Surgery,
Grooming,Home Visit,Gurgaon,Ultimutt – Premium Grooming Spa,"Honey, Zeeshan, Manish, Reshab","4312, Galleria Market, Sector 28, DLF Phase IV, Gurugram",+918826022355,5.0,422,10 AM - 7 PM,"Dogs, Cats","Premium Spa, Boarding, Home & Salon",
Grooming,Salon,Gurgaon,Pet Grooming Studio & Spa – Sohna Rd,,"JMD Galleria Mall, Sector 48, Badshahpur Sohna Rd, Gurugram",+919999228232,4.9,208,9 AM - 9 PM,"Dogs, Cats","Dog Spa, Boarding",
Grooming,Salon,Gurgaon,Pet Grooming Studio & Spa – MG Road,,"GF-121, Central Arcade, MG Rd, DLF Phase 2, Gurugram",+919773778205,5.0,37,9 AM - 9 PM,"Dogs, Cats","Spa, Boarding",
Grooming,Salon + Vet,Gurgaon,Sniff & Snooz – Grooming Spa & Vet,,"EPS-GF 78, Emerald Plaza, Sector 65, Gurugram",+919818728444,5.0,300,10 AM - 9 PM,"Dogs, Cats","Pickup/Drop, Boarding, Pharmacy",
Grooming,Salon + Café,Gurgaon,Groom Canine – The Pet Studio,,"Shop 42, Paras Trinity Complex, Sector 63, Gurugram",+919315650983,4.9,167,10 AM - 8:30 PM,"Dogs, Cats","Detailed Grooming, Pet Café",
Grooming,Luxury Salon,Gurgaon,Pawmiable – Luxury Pet Grooming & Spa,,"Conscient One Mall, Sector 109, Gurugram",+919971909459,4.8,70,10 AM - 9 PM,"Dogs, Cats","Luxury Spa, Pet Experience Centre",
Grooming,Home Visit,Gurgaon,Duggu Guggu Pet Spa,Ankit & Team,"Sushant Lok, Sector 43, Gurugram",+917303330363,5.0,41,7 AM - 10 PM,"Dogs, Cats","Home Visit Only, Breed-Specific Cuts",
Grooming,Home Visit + Services,Gurgaon,All Tails – Home Grooming & Vet,,"512, Golf Course Ext Rd, Sector 66, Gurugram",,4.9,227,Call for booking,"Dogs, Cats","Medicated Grooming, Vet Services, Dog Walking",
Grooming,Salon + Home,Gurgaon,Petresort – Grooming & Boarding,,"C-595, Sushant Lok Phase 1, Sector 43, Gurugram",+919971657996,4.6,242,Open 24 hours,"Dogs, Cats","Grooming, Boarding, Free Roam",
Grooming,Home Visit,Delhi,Patmypets – Pet Grooming At Home,"Mohit, Jitu, Surjeet, Ritesh, Arun, Sonu","55, 2nd Floor, Lane-2, Westend Marg, Saidulajab, Mehrauli, New Delhi",+918826614260,5.0,403,9 AM - 7 PM,"Dogs, Cats","Full Groom, Affordable (from ₹1000)",
Grooming,Home Visit,Delhi,Deep Pet Care,Kuldeep & Team,"Dr KB Hedgewar Marg, Krishna Park Extension, Tilak Nagar, Delhi",+918860053989,5.0,357,Open 24 hours,"Dogs, Cats","West Delhi Focus, Stray Friendly",
Grooming,Salon,Delhi,Hao FurEver Pet Spa & Store,,"B-73, Vaishno Devi Marg, Lajpat Nagar II, New Delhi",+919599711058,5.0,137,10:30 AM - 7:30 PM,"Dogs, Cats","Luxury Grooming, Premium Products",
Grooming,Home Visit,Delhi,The Pet K9,Waseem & Team,"New Friends Colony, New Delhi",+919318474029,4.9,292,8 AM - 7 PM,"Dogs, Cats",South Delhi Focus,
Grooming,Salon + Home,Delhi,Wiggly Pups,"Om Singh, Neeraj","First Floor, Paryavaran Complex, Saket, New Delhi",+918368017353,4.7,147,Open 24 hours,"Dogs, Cats","Boarding, Quick Turnaround",
Grooming,Home Visit,Delhi,Pet Groomer At Home – Saket,"Vishal, Bikram","Saket, New Delhi",+919871990733,4.8,62,6 AM - 11 PM,"Dogs, Cats",South Delhi,
Grooming,Salon + Home,Delhi,Pet Smarty Grooming Centre,,"2nd Floor, Pocket D, Dr Ambedkar Colony, Maidan Garhi, New Delhi",+918368216142,4.8,115,7 AM - 10:30 PM,"Dogs, Cats",Breed-Specific Cuts,
Grooming,Home Visit,Noida,Patmypets – Pet Grooming Noida,"Jeetu, Ranjit, Arun","B Block, Sector 2, Noida",,4.9,226,8 AM - 7 PM,"Dogs, Cats",Full Grooming Package,
Grooming,Salon + Home,Noida,Zain Grooming Centre,Aslam & Team,"Shop 2, Gali 11B, Hoshiarpur Village, Sector 51, Noida",+919315952500,4.9,175,Open 24 hours,"Dogs, Cats","Home Grooming, Affordable",
Grooming,Salon,Noida,Barks In The Town,,"Shop 19, A Block, Sector 44, Noida",+918527475535,4.9,103,10:30 AM - 8:30 PM,"Dogs, Cats","Royalty Treatment, Accessories Store",
Grooming,Salon + Academy,Noida,Style N Dogz – Grooming & Academy,,"SK-239/240, Sector 116, Noida",+919810849880,4.9,299,10 AM - 8 PM,"Dogs, Cats",Grooming Courses Offered,
Grooming,Home Visit,Noida,Velvett Spa,"Raman, Durgesh","House 107, Sector 44 Rd, Noida",+917233822822,4.9,307,10 AM - 7 PM,"Dogs, Cats","Difficult Breeds Welcome, Chow Chow Specialist",
Grooming,Mobile Van,Noida,Pamper Paws Mobile Pet Grooming,Prince & Team,"BS156, Sector 70, Noida",+917260076008,4.8,94,8 AM - 7 PM,"Dogs, Cats",Mobile Van Service,
Grooming,Home Visit,Noida,Pet Super Home Grooming,Salim Ji,"G-128, Sector 44, Noida",+919818198640,4.9,52,8 AM - 8 PM,"Dogs, Cats","Home Visit, Shih Tzu Specialist",
Grooming,Mobile Van,Noida,The Groomery,,"Plot 066, Near ATS Greens Paradiso, Chi IV, Greater Noida",+919810336573,4.7,83,9 AM - 8 PM,"Dogs, Cats, Huskies",Mobile Door-Step Van,
Boarding,Salon + Boarding,Noida,Pappy Paws – Grooming & Boarding,Murli & Team,"PK-52A, Near Roastery Café, Sector 144, Noida",+917303542799,4.8,220,10:30 AM - 8 PM,"Dogs, Cats, Rabbits","Grooming, Boarding, CCTV Access, Open Space, Rabbits Welcome",
Boarding,Farm / Resort,Gurgaon,Ultimutt Pet Resort,,"Near CNG Pump, Gwal Pahari, Gurugram (Faridabad-Gurgaon Rd)",+918069069783,4.9,476,7 AM - 7 PM,"Dogs, Cats","Daily Video Updates, School Bus Pickup, Daycare",
Boarding,Farm / Resort,Gurgaon,Barks & Meows – Pet Boarding,"Ravi, Sonu","Faridabad-Gurgaon Rd, Gwal Pahari, Bandhwari, Gurugram",+918851774028,4.8,443,8 AM - 8 PM,"Dogs, Cats","Large Play Area, Daily Updates, Own Kitchen",
Boarding,Home Boarding,Gurgaon,Woof n Purr,"Deepak, Karan","C-90, Florence Rd, Sushant Lok III, Sector 57, Gurugram",+917678609739,4.8,430,7 AM - 10 PM,"Dogs, Cats","Daycare, Separated Cats/Dogs, Daily Updates",
Boarding,Farm Boarding,Gurgaon,The K9 Paradise,Rachit & Team,"Plot 205, Nurpur Jharsa Rd, Near Pareena Micasa, Sector 68, Gurugram",+919891602676,4.9,135,Open 24 hours,Dogs,"Open Farm, Complimentary Grooming, Diet Plans",
Boarding,Resort / Daycare,Gurgaon,Pooch Pet Resort & Daycare,,"Kila 19, Near Paras Trinity, Sector 62, Gurugram",+917065000256,4.9,279,7 AM - 7 PM,Dogs,"Dog Park, Daycare, Enrichment, Daily Photos",
Boarding,Home Boarding,Gurgaon,Happy Pettings,Vipul & Team,"Huda Plot 1, Near Kirti Hospital, Sector 56, Gurugram",+919910470476,4.8,966,9 AM - 7 PM,"Dogs, Cats","Pickup/Drop, Regular Updates, Long Stay OK",
Boarding,Home Boarding,Gurgaon,Colonel's Farm – Home Pet Boarding,Indu Ji & Netai,"Devinder Vihar, Sector 56, Gurugram",+919873919341,4.8,134,Open 24 hours,"Dogs, Cats","Long-Stay Friendly, Home Option",
Boarding,Farm / Resort,Delhi,WagINN – Farm Boarding & Daycare,Rohit & Team,"Farm 20B, Palam Farms, Salapur Road, Bijwasan, New Delhi",+918368098288,4.7,497,8 AM - 6 PM,Dogs,"Swimming Pool, Dog Park, Grooming, Pet Café",
Boarding,Farm + Training,Delhi,Pet Lovers Hut – Boarding & School,Kuldeep & Team,"Mini Farm, Chattarpur Mandir Rd, Fatehpur Beri, New Delhi",+919810007381,4.2,319,8 AM - 6 PM,Dogs,"Swimming Pool, Dog Park, Boarding, Training, Aggression Rehab",
Boarding,Home Boarding,Delhi,Freedom 2 Breathe (F2B),"Kamal, Diya","Plot 105, Pocket 7, Sector 23B, Dwarka, New Delhi",+919625568604,5.0,370,7 AM - 9 PM,Dogs,"Injury Recovery, Medical Boarding, Daily Updates",
Boarding,Home Boarding,Delhi,Stay Pawsitive,"Kshipra, Navneet","Kothi 22, Behind Venkateshwar School, Sector 10, Dwarka, New Delhi",+919899449633,4.8,177,5 AM - 7 PM,Dogs,"Owner's Dogs Live There, Video Updates",
Boarding,Home Boarding,Delhi,Another Home – Pet Boarding,Sheetal,"Plot 32, Lal Dora, Nanak Heri Village, New Delhi",+918800237327,4.9,177,10 AM - 5 PM,Dogs,"GSD/Rottweiler Welcome, Regular Updates",
Pet Shop,Retail,Gurgaon,Heads Up For Tails (HUFT) – DLF Galleria,,"SG-87, Galleria Market, DLF Phase IV, Gurugram",+919167211375,4.9,587,9:30 AM - 10:30 PM,"Dogs, Cats","Premium Food, Accessories, Grooming Supplies",
Pet Shop,Retail + Spa,Gurgaon,JUSTDOGS – Sector 66,,"Shop 7, Hub 66, Sector 66, Gurugram",+919104095111,4.8,256,9:30 AM - 10 PM,"Dogs, Cats","Ruff Wear, Trixie, Grooming Spa",
Pet Shop,Retail + Grooming,Gurgaon,Pet Gallery – Sushant Lok,,"LG 20-21, G-Sushant Shopping Arcade, Sushant Lok Phase I, Gurugram",+919818591005,4.6,443,10 AM - 8 PM,"Dogs, Cats","Home Delivery, Seasonal Sales",
Pet Shop,Multi-Species,Gurgaon,Pari Pets & Aquarium,,"Surya Vihar Main Rd, Opp Sector 9, Feroz Gandhi Colony, Gurugram",+918750388002,4.9,370,9:30 AM - 10:30 PM,"Birds, Fish, Budgies, Guinea Pigs, Cockatiels, Shih Tzu","Multi-Species, Aquarium Setup",
Pet Shop,Retail,Gurgaon,My Pet Shop – Ardee City,,"C-Block Market, Ardee City, Sector 52, Gurugram",+918851164459,4.8,333,9:30 AM - 9:30 PM,"Dogs, Cats","Food, Medicines, Accessories, Home Delivery",
Pet Shop,Retail + Multi-Species,Gurgaon,Pets Pash,,"SCO 166-167, DLF Colony, Sector 14, Gurugram",+919999005645,3.7,384,9:30 AM - 9:30 PM,"Dogs, Cats, Fish, Birds","Vet on-site, Aquarium, Accessories",
Pet Shop,Exotic Multi-Species,Delhi,Ideal Pets – The Complete Exotic Pet Shop,Sudhir Ji,"Main Rd, Near Kapashera Red Light, Kapas Hera, New Delhi",,4.8,217,10 AM - 8 PM,"Dogs, Exotic Animals Animals","Export Docs, Grooming Tools, Travel Assistance",
Pet Shop,Bird Specialist,Delhi,Bird Shop Ocean Pearls,,"B7, Block B, Part 1, Lajpat Nagar, New Delhi",+918802702205,4.7,64,9 AM - 10 PM,"Sun Conure, Parrots, Budgies",Bird Specialist Shop,
Pet Shop,Exotic,Delhi,Exotic Pets World,,"B-35, DDA Janta Flats, RBI Officers Colony, Vasant Vihar, New Delhi",+919910137991,5.0,6,10 AM - 8:30 PM,"Rats, Guinea Pigs, Exotic Animals",Exotic Pets Only,
Pet Shop,Retail + Grooming,Delhi,Pet Gallery Mayur Vihar,,"Plot 1B, Opp Bapu Nature Cure Hospital, Patparganj, Mayur Vihar, Delhi",+919868372568,4.9,119,9 AM - 9:30 PM,"Dogs, Cats","Premium Food, Accessories, Wholesale Cat Food",
Pet Shop,Retail + Grooming,Delhi,Dav Pet Lovers – Dwarka,,"Vardhman City Plaza, Sector 7 Dwarka, New Delhi",+919990730909,4.0,1076,9 AM - 10 PM,Dogs,"Puppy Sales, Home Delivery",
Pet Shop,Retail + Boarding,Noida,Garhwal Pet Shop – Greater Noida,,"FF-15, Near Amrapali Dream Valley, Techzone 4, Greater Noida",+918810475545,4.7,335,Open 24 hours,"Dogs, Cats","High Quality Breeds, Boarding, Grooming",
Pet Shop,Clinic + Boarding,Noida,Vet Care+ – Sector 26,Dr. & Groomer Ganesh Ji,"Shop 114, GF, Jaipuria Plaza, D-Block, Sector 26, Noida",+919599407666,4.6,21,9 AM - 9 PM,"Dogs, Cats","Clinic, Grooming, Pet Resort Sec 150",
Training,Dog Trainer,Delhi,AK Dog Guru (Amit Kumar),Amit Kumar,"Garhwali Colony, Mehrauli, New Delhi",+919319243570,5.0,415,Open 24 hours,Dogs,"Obedience, Reactive Dogs, Home Visit, Positive Methods",
Training,Dog Trainer,Delhi,BSF Dog Trainer,,"D-40, Block A, Soami Nagar North, Panchsheel Enclave, New Delhi",+917903822606,5.0,465,9 AM - 5 PM,Dogs,"Commands, Obedience, Puppy Training",
Training,Dog Trainer,Delhi,Ranjeet Kumar – Dog Trainer,Ranjeet Kumar,"Near Lajpat Nagar Metro, Block C, Defence Colony, New Delhi",+919304383746,5.0,527,7 AM - 9 PM,Dogs,"Commands, Leash Manners, Obedience, Belgian Malinois",
Training,Dog Trainer,Delhi,Rahul Vaishnav – Dog Trainer,Rahul Vaishnav,"Wz 440, Gali 26, Sadh Nagar, Palam, New Delhi",+919810494500,5.0,324,Open 24 hours,Dogs,"Behaviour, Puppy, Home Service Dwarka",
Training,Dog Trainer,Delhi,Ashok Kumar – Dog Trainer,Ashok Kumar,"19/201, Dakshin Puri Extension, New Delhi",+917011519025,4.9,195,8 AM - 9 PM,Dogs,"Commands, Obedience, Breed Knowledge",
Training,Board & Train,Delhi,K9 School – Board & Train,Adnaan Khan & Team,"Near Tirupathi Farms, Jhatikra, Najafgarh Road, New Delhi",+917814652240,4.5,248,7 AM - 5 PM,Dogs,"GSD, Akita, Malinois, Reactivity, Aggression",
